"Modality condition","TTCv [s]","TTCa [s]","vV [km/h]","vA [km/h]","Sound level [dB]","vehicleSize"
"AV",6.4,5,50,40,-7.5,"large"
"AV",6.4,5,50,40,7.5,"small"
"AV",6.4,5,50,40,7.5,"large"
"AV",6.4,5,50,60,-7.5,"small"
"AV",6.4,5,50,60,-7.5,"large"
"AV",6.4,5,50,60,7.5,"small"
"AV",6.4,5,50,60,7.5,"large"
"AV",6.4,5,40,50,-7.5,"small"
"AV",6.4,5,40,50,-7.5,"large"
"AV",6.4,5,40,50,7.5,"small"
"AV",6.4,5,40,50,7.5,"large"
"AV",6.4,5,60,50,-7.5,"small"
"AV",6.4,5,60,50,-7.5,"large"
"AV",6.4,5,60,50,7.5,"small"
"AV",6.4,5,60,50,7.5,"large"
